Time(s),Angle(deg)
10.041666666666666,26.36883352118407
10.083333333333334,25.06105546990425
10.125,23.621004827090367
10.166666666666666,22.181385399875047
10.208333333333334,18.758650347842234
10.25,17.231821757397046
10.291666666666666,15.563295629896292
10.333333333333334,13.717346318360326
10.375,10.13494616071458
10.416666666666666,8.357383374297118
10.458333333333334,6.275850639308193
10.5,4.387499452632432
10.541666666666666,0.583143014097872
10.583333333333334,-1.461310090881227
10.625,-3.3578924296798505
10.666666666666666,-5.260483500920145
10.708333333333334,-8.912108253971468
10.75,-10.852490860253425
10.791666666666666,-12.481403600128033
10.833333333333334,-14.31970821519576
10.875,-17.60596806258249
10.916666666666666,-19.125226020787096
10.958333333333334,-20.641078964680446
11.0,-22.071543173185148
11.041666666666666,-24.74468569244084
11.083333333333334,-26.04478598047396
11.125,-27.21611155730747
11.166666666666666,-28.320445036541685
11.208333333333334,-30.14138555207535
11.25,-31.113093586203405
11.291666666666666,-31.959238966103328
11.333333333333334,-32.60459316624153
11.375,-33.85101030355821
11.416666666666666,-34.37404363737372
11.458333333333334,-34.814157215943
11.5,-35.01575007068004
11.541666666666666,-35.73977846882852
11.583333333333334,-35.65532809790031
11.625,-35.73977846882852
11.666666666666666,-35.73977846882852
11.708333333333334,-35.65532809790031
11.75,-35.33581445981014
11.791666666666666,-35.01575007068004
11.833333333333334,-34.575806622660565
11.875,-33.448992737474725
11.916666666666666,-32.926704694807114
11.958333333333334,-32.20480546400938
12.0,-31.484387537601947
12.041666666666666,-29.744881296942225
12.083333333333334,-28.702928061799525
12.125,-27.664270981907606
12.166666666666666,-26.565051177077976
12.208333333333334,-24.227745317954174
12.25,-22.98871680208063
12.291666666666666,-21.505518419807828
12.333333333333334,-20.318093187113192
12.375,-17.284585761592353
12.416666666666666,-15.625422797269465
12.458333333333334,-13.824299504261404
12.5,-12.308015817427929
12.541666666666666,-8.790543182813934
12.583333333333334,-7.3243367259394745
12.625,-5.405754014978271
12.666666666666666,-3.512469679059592
12.708333333333334,0.14691193319884
12.75,2.055888785004674
12.791666666666666,3.82385060275258
12.833333333333334,5.73983313471272
12.875,9.171729030165954
12.916666666666666,10.963389646329635
12.958333333333334,12.496789953605784
13.0,14.17957219837795
13.041666666666666,17.36281772697085
13.083333333333334,18.761284152175815
13.125,20.210269215157226
13.166666666666666,21.60960223702575
13.208333333333334,24.187353516740625
13.25,25.311081140802713
13.291666666666666,26.4331854041197
13.333333333333334,27.422116283334773
13.375,28.41053678035568
13.416666666666666,30.182384313960146
13.458333333333334,30.837831944687245
13.5,31.492161124727005
13.541666666666666,32.145204518273786
13.583333333333334,32.999300817238634
13.625,33.324613930936785
13.666666666666666,33.56859255707841
13.708333333333334,34.094977954765554
13.75,34.29785002687143
13.791666666666666,34.29785002687143
13.833333333333334,34.29785002687143
13.875,34.13389919383844
13.916666666666666,33.73035990999391
13.958333333333334,33.488038111114854
14.0,33.08485292873498
14.041666666666666,32.6828615224713
14.083333333333334,31.31250914367574
14.125,30.78945439416184
14.166666666666666,30.214508316631868
14.208333333333334,29.36568375443795
14.25,27.541589212839554
14.291666666666666,26.56505117707799
14.333333333333334,25.457079804432063
14.375,24.21443464807792
14.416666666666666,21.991129917177126
14.458333333333334,20.556045219583467
14.5,19.269294398468805
14.541666666666666,18.01809116973378
14.583333333333334,14.959716046191916
14.625,13.6097318958122
14.666666666666666,11.798155369845714
14.708333333333334,10.160722927637131
14.75,6.761238510037223
14.791666666666666,5.154482983800475
14.833333333333334,3.5304830887600267
14.875,1.7623910236605125
14.916666666666666,-1.7669187236402593
14.958333333333334,-3.383728830331023
15.0,-5.154482983800477
15.041666666666666,-6.924491054163866
15.083333333333334,-10.067707323602548
15.125,-11.714230659391802
15.166666666666666,-13.215238649209255
15.208333333333334,-14.713635558172257
15.25,-17.599251177127627
15.291666666666666,-18.99210253653459
15.333333333333334,-20.246620075588226
15.375,-21.44773632710536
15.416666666666666,-23.48689290856484
15.458333333333334,-24.60139364302603
15.5,-25.778430862189197
15.541666666666666,-26.565051177077976
15.583333333333334,-28.003683871340684
15.625,-28.657117456558126
15.666666666666666,-29.437231615705173
15.708333333333334,-29.962184096417758
15.75,-30.73887237698193
15.791666666666666,-31.13897243697886
15.833333333333334,-31.46414363086575
15.875,-31.6648936589541
15.916666666666666,-31.912771576163323
15.958333333333334,-31.912771576163323
16.0,-31.46414363086575
16.041666666666668,-31.06366188768905
16.083333333333332,-30.813505706439287
16.125,-30.4138139317636
16.166666666666668,-29.88943041823913
16.208333333333332,-29.238652177102608
16.25,-28.587182893119007
16.291666666666668,-27.935190138259316
16.333333333333332,-27.153014591707233
16.375,-26.23951047841868
16.416666666666668,-24.540615641075874
16.458333333333332,-23.42869280874541
16.5,-22.316596647716693
16.541666666666668,-21.39429331923094
16.583333333333332,-18.897001544352776
16.625,-17.55496966916047
16.666666666666668,-16.348171547351257
16.708333333333332,-14.818147250880799
16.75,-11.971782958178693
16.791666666666668,-10.475447232041148
16.833333333333332,-8.980248775223004
16.875,-7.5073466669496725
16.916666666666668,-4.127591702511722
16.958333333333332,-2.6493288031904285
17.0,-0.883669457792962
17.041666666666668,0.5891389227978311
17.083333333333332,4.127591702511724
17.125,5.622400627089724
17.166666666666668,7.088475678146005
17.208333333333332,8.734949781384627
17.25,11.744202426024701
17.291666666666668,13.248968127970729
17.333333333333332,14.713635558172253
17.375,15.965627460644528
17.416666666666668,18.388480236587373
17.458333333333332,19.693481971438455
17.5,20.762763911963166
17.541666666666668,21.828693188819592
17.583333333333332,23.873080808637617
17.625,24.79560700107917
17.666666666666668,25.582934013853805
17.708333333333332,26.36883352118407
17.75,27.73817962838724
17.791666666666668,28.38955576647771
17.833333333333332,28.842660135412068
17.875,29.04046048556214
17.916666666666668,30.068582821862453
17.958333333333332,30.141385552075338
18.0,30.015568005150122
18.041666666666668,30.26688306669759
18.083333333333332,30.46554491945988
18.125,30.193898589660563
18.166666666666668,30.068582821862453
18.208333333333332,29.870647936153347
18.25,29.152929684483304
18.291666666666668,28.82980572530142
18.333333333333332,28.251642303397205
18.375,27.731546125077145
18.416666666666668,26.500090003651252
18.458333333333332,25.917668790136112
18.5,25.00813131583264
18.541666666666668,24.22774531795417
18.583333333333332,22.34064795999414
18.625,21.370622269343183
18.666666666666668,20.181790699981697
18.708333333333332,18.940351571990583
18.75,16.685300262618128
18.791666666666668,15.344623307017997
18.833333333333332,14.1068047370731
18.875,12.655462997766104
18.916666666666668,9.965744972357257
18.958333333333332,8.336201391540106
19.0,6.889232579025187
19.041666666666668,5.419532499182105
19.083333333333332,2.343276968425644
19.125,0.8791501206731048
19.166666666666668,-0.73264266886477
19.208333333333332,-2.0506352521926487
19.25,-5.141303489938281
19.291666666666668,-6.6155722241504975
19.333333333333332,-8.254748523389594
19.375,-9.43818750873146
19.416666666666668,-12.289744647868616
19.458333333333332,-13.501450851828935
19.5,-14.818147250880799
19.541666666666668,-16.066400535196664
19.583333333333332,-18.202983371623816
19.625,-19.269294398468816
19.666666666666668,-20.384295795418723
19.708333333333332,-21.1745063747411
19.75,-23.025492008528033
19.791666666666668,-23.679732877656647
19.833333333333332,-24.334727627073107
19.875,-25.123127805396706
19.916666666666668,-26.041816594893817
19.958333333333332,-26.433939782330782
20.0,-26.826375611352745
20.041666666666668,-27.153014591707233
20.083333333333332,-27.479615357332648
20.125,-27.609050054449312
20.166666666666668,-27.670507916087928
20.208333333333332,-27.670507916087928
20.25,-27.34542216332696
20.291666666666668,-27.149681697783166
20.333333333333332,-26.824894200689926
20.375,-26.369947120132707
20.416666666666668,-25.719658350419195
20.458333333333332,-25.008131315832628
20.5,-24.55208256474154
20.541666666666668,-23.903557877320566
20.583333333333332,-22.285587646832766
20.625,-21.505518419807828
20.666666666666668,-20.589978161729903
20.708333333333332,-19.80978360349141
20.75,-18.802813941531724
20.791666666666668,-16.60210931697995
20.833333333333332,-15.586304491473157
20.875,-14.52924968584989
20.916666666666668,-13.33196696096175
20.958333333333332,-10.852490860253425
21.0,-9.510208347743514
21.041666666666668,-8.04760308861728
21.083333333333332,-6.726884049001313
21.125,-3.9502152625990448
21.166666666666668,-2.489552921999149
21.208333333333332,-1.1721286209350694
21.25,0.2938219346507038
21.291666666666668,3.082180824528144
21.333333333333332,4.5563584384892195
21.375,5.901089912204368
21.416666666666668,7.380636358840827
21.458333333333332,9.922616665088814
21.5,11.396438366285707
21.541666666666668,12.608606793366237
21.583333333333332,13.822054635731693
21.625,16.006240953639686
21.666666666666668,16.896863778789175
21.708333333333332,18.155004245168637
21.75,19.03999955079288
21.791666666666668,20.815065966367314
21.833333333333332,21.555389044330404
21.875,22.156262087671774
21.916666666666668,22.947718040195838
21.958333333333332,24.14093359724386
22.0,24.46820182912272
22.041666666666668,25.06105546990425
22.083333333333332,25.582934013853805
22.125,26.10878043937707
22.166666666666668,26.30402437471252
22.208333333333332,26.43468557835434
22.25,26.43468557835434
22.291666666666668,26.17528998175993
22.333333333333332,26.17528998175993
22.375,25.850515008498878
22.416666666666668,25.656700431157013
22.458333333333332,25.00813131583264
22.5,24.6839859673557
22.541666666666668,24.300296628854564
22.583333333333332,23.521647870095897
22.625,22.474812651568808
22.666666666666668,21.693660145553906
22.708333333333332,20.91254769136771
22.75,19.99550552181746
22.791666666666668,18.251895837078543
22.833333333333332,17.37998164725193
22.875,16.324040757522933
22.916666666666668,15.267842615687401
22.958333333333332,13.157542740014808
23.0,11.993348723586978
23.041666666666668,10.79786863460231
23.083333333333332,9.653786088536545
23.125,7.287275831934782
23.166666666666668,5.841140257315232
23.208333333333332,4.521633501589634
23.25,3.340885997885435
23.291666666666668,0.583143014097872
23.333333333333332,-0.7307738854086949
23.375,-2.045408488887233
23.416666666666668,-3.366460663429791
23.458333333333332,-5.725175926574707
23.5,-7.052306007841196
23.541666666666668,-8.378672506215565
23.583333333333332,-9.43818750873146
23.625,-11.8583388047212
23.666666666666668,-12.752119750207612
23.708333333333332,-13.679042487827672
23.75,-14.855716770310522
23.791666666666668,-16.713335669890796
23.833333333333332,-17.459202635627207
23.875,-18.388480236587384
23.916666666666668,-19.039999550792885
23.958333333333332,-20.297569772228684
24.0,-20.952847947753128
24.041666666666668,-21.364670697793684
24.083333333333332,-21.96495551081472
24.125,-22.61986494804043
24.166666666666668,-22.947718040195838
24.208333333333332,-23.217849598473464
